id,p.value,logp.value,log2fc
hsa-miR-19a-3p,0.766145195,0.115688918,-0.048805767
hsa-miR-409-5p,0.034421571,1.463169312,-0.044045959
hsa-miR-29c-3p,0.258817255,0.587006773,-0.043981898
hsa-let-7i-3p,0.446043061,0.350623212,-0.043758503
hsa-miR-342-3p,0.670152181,0.173826565,-0.043707752
hsa-miR-148a-3p,0.313684561,0.503506856,-0.043528671
hsa-miR-7-1-3p,0.373019165,0.428268854,-0.043477678
hsa-miR-374a-5p,0.534396173,0.272136661,-0.042523983
hsa-miR-29a-3p,0.259886924,0.585215571,-0.042491372
hsa-miR-181a-3p,0.681073001,0.166806336,-0.04226481
hsa-miR-331-3p,0.648375795,0.188173206,-0.041880096
hsa-miR-16-5p,0.756195023,0.121366185,-0.040204309
hsa-miR-340-3p,0.904401682,0.043638639,-0.036547271
hsa-miR-744-5p,0.406372498,0.391075691,-0.036331283
hsa-miR-484,0.553830369,0.256623234,-0.034916528
hsa-miR-191-5p,0.530179688,0.275576915,-0.034041623
hsa-miR-126-3p,0.497866333,0.302887241,-0.031493459
hsa-miR-20a-5p,0.78070474,0.107513184,-0.030667538
hsa-miR-125b-1-3p,0.701624526,0.153895238,-0.030549674
hsa-miR-25-3p,0.81692613,0.087817212,-0.030267833
hsa-miR-150-5p,0.838205667,0.076649407,-0.029005514
hsa-miR-93-3p,0.934453476,0.029442316,-0.027195831
hsa-miR-193a-5p,0.722112413,0.141395189,-0.025162116
hsa-miR-130b-3p,0.87253152,0.059218875,-0.024483964
hsa-miR-221-3p,0.733681192,0.134492614,-0.024136761
hsa-miR-27a-3p,0.293133335,0.532934791,-0.024128475
hsa-miR-151a-3p,0.425126559,0.371481762,-0.023438629
hsa-miR-136-3p,0.736164024,0.13302541,-0.022113878
hsa-miR-223-5p,0.933329327,0.029965088,-0.021273439
hsa-let-7g-5p,0.44681904,0.349868329,-0.020859565
hsa-miR-199b-5p,0.476517239,0.321921383,-0.019930935
hsa-miR-493-5p,0.785513251,0.104846484,-0.018776467
hsa-miR-574-3p,0.796051411,0.099058884,-0.017423978
hsa-miR-148b-3p,0.596562704,0.224343901,-0.016530023
hsa-miR-199a-3p,0.736005815,0.133118754,-0.016407952
hsa-let-7f-5p,0.677723615,0.168947381,-0.015667011
hsa-miR-17-5p,0.879345492,0.055840458,-0.014922458
hsa-miR-199b-3p,0.790015517,0.102364378,-0.013496592
hsa-miR-199a-5p,0.602684791,0.219909768,-0.013162563
hsa-miR-34a-5p,0.847050259,0.07209082,-0.010846179
hsa-miR-30b-3p,0.96965574,0.013382427,-0.010589912
hsa-miR-301a-3p,0.944977516,0.024578525,-0.010284305
hsa-miR-99b-5p,0.531697738,0.274335187,-0.009889354
hsa-miR-532-5p,0.814056179,0.089345623,-0.008131907
hsa-miR-320a,0.938747525,0.027451195,-0.006388463
hsa-miR-26b-5p,0.926336873,0.033231048,-0.005868308
hsa-miR-361-5p,0.552296428,0.257827766,-0.005348297
hsa-let-7d-3p,0.758830176,0.119855407,-0.004922185
hsa-miR-127-3p,0.865871499,0.062546555,-0.004417052
hsa-miR-18a-5p,0.991201912,0.003837869,-0.001717255
hsa-miR-186-5p,0.990906339,0.003967393,-0.000877571
hsa-miR-374b-5p,0.999157915,0.000365867,-0.000100901
hsa-miR-19b-3p,0.995003061,0.002175583,0.000682524
hsa-miR-152-3p,0.955452261,0.019791008,0.001348509
hsa-miR-411-5p,0.982245425,0.007779985,0.003131269
hsa-miR-655-3p,0.974967801,0.011009727,0.003663331
hsa-miR-125a-5p,0.937360108,0.028093533,0.004018815
hsa-let-7d-5p,0.547221561,0.261836799,0.004864632
hsa-miR-26b-3p,0.934834162,0.029265425,0.005892086
hsa-miR-103a-3p,0.890640849,0.05029739,0.006010144
hsa-miR-222-3p,0.977158279,0.010035084,0.006495432
hsa-miR-329-3p,0.976333426,0.010401842,0.006869465
hsa-miR-26a-5p,0.623677762,0.205039741,0.007210812
