gene.id,log2_diff,p.value,adj.p.value
E0CY07,0.4794099198894912,0.23803390345521197,0.3461916442587663
LMNB2,-0.0631108094164361,0.5349251421933541,0.6397589110565775
BL1S6,0.50495599533307,0.026175812900455116,0.06716716961256512
ILF2,-0.145779776154221,0.010024021929928165,0.035602252576438266
TI17B,-0.545852084530182,0.032619200832686296,0.0787737262019154
GNA11,0.4010227267277351,0.0241511634428818,0.06356828686914398
FA98B,0.14199763116440067,0.34740361480306825,0.4651996814352312
S10AD,0.30657559484725283,0.20883951359256855,0.31267434447011877
Q3TLM7,-0.04687016030108282,0.7877443885325681,0.8481927555531705
VWA8,-1.1385374822750514,2.3379041094250837e-4,0.002491055581833946
E9Q0W5,0.8012313492866348,0.07476571592350931,0.14421170278566534
D3YXP6,1.4048405869131422,0.005952540365681913,0.02507334760212096
HEM3,-0.7331161220189735,0.014423317867640343,0.04550825154595944
ASCC1,-0.9732312068601274,0.014689894255731745,0.04602140613922249
D3YXG2,0.5831643017892887,0.051640040749471774,0.10992818503560098
NPC1,0.03040155414426593,0.7880727540029266,0.8483171055379964
SYJ2B,-0.8488946452542621,0.04047899566397324,0.09165272597780305
A0A087WRI5,0.8429259765582486,0.015106483042039903,0.04703073040822579
S61A1,-0.9493784737465312,0.016371170830346525,0.04953615471445019
RPAB5,-0.05548933726885963,0.6180536777130294,0.7118334987533013
THIL,-0.044624631508028756,0.3508351127656886,0.46774102521621574
STAT3,-0.40298098014907424,0.04536738410549855,0.09977319296932215
F6ZHD8,-0.7151959820306715,0.4180623638087559,0.5329425847018209
PTN23,0.3651916406022053,0.007874370176746326,0.03055439645017927
COX5B,-0.16034483865561455,0.2199321248364289,0.3252057578750164
F6R7Y0,-0.8478611136155259,0.05049746036360514,0.1081894513704121
H7BWX9,-0.20406587670403198,0.16821772729914172,0.26527409706651356
E9Q9C5,-27.00582567701165,9.01373129744113e-9,4.035923507899202e-7
G3X9L6,-0.059007377813063755,0.6992441284168809,0.7776968606590204
ELYS,0.735307150473826,0.02682949651733088,0.0682730163611517
HYEP,0.5913710873490636,0.03152060576611255,0.07668474601828967
Q8CH20,0.3747147174249754,0.05254242402527133,0.11125481388985455
RFC3,-0.5826352114307412,0.1863741459843248,0.285544395135538
PSMG1,-0.27177130364411894,0.17267108503200582,0.2698408917068797
LMNA,0.5239754994238055,0.006291483871735974,0.026143444451374197
PAWR,-0.9091366499401126,0.05276800238240769,0.11155463633628364
G8JL40,0.4706417131433156,0.012772814756282305,0.0419618028060882
E9QMH7,-0.7401119579538644,0.03353546621754021,0.08036009192838107
LGUL,-1.075016159861832,0.004365229822382707,0.020298063993226475
Q8C6H0,0.01185683924247627,0.884167301673674,0.9199495292870994
NPL4,0.11028970266213989,0.643921311969086,0.733989252916707
MBNL2,0.30817325070999857,0.08832614624488011,0.16145857467240698
TRNT1,-1.0461126270035983,0.00233744240236061,0.012912714615885855
PLOD1,0.3590991064932503,0.013656820818406376,0.043889057226894686
PCNA,1.0610003550581943,2.258533786836157e-5,4.5455844144151944e-4
H7BWZ0,-0.09222518278463099,0.8192602699399778,0.871995773427033
VRK2,-1.0871541931350883,0.0022395890763493936,0.012587817305010343
Q6ZWQ7,-0.10339078337274543,0.5407628337151518,0.6444198242688037
NCBP2,-0.8305505269437141,0.030185605052758965,0.07434464532462576
DLRB1,0.3527145287306652,0.09114799304982549,0.1658560512801619
Q3U3J1,-0.9874439847160978,0.019736317890271096,0.055920256046171346
TM9S3,0.02540256751215253,0.9200679474680438,0.9464302453949806
GMPPB,-0.24404595974408494,0.1445768859353063,0.23641316801485251
